attribute,Llama,GPT
isolate_num,Observation.component.value,Observation.identifier
isopenbag,MedicationAdministration.statusReason,MedicationAdministration.note
isopenbag,Procedure.used,Procedure.note
itemid,Observation.code,Observation.code
label,Observation.code,observation.code
language,Encounter.communication.language.coding.code,No mapea
last_careunit,Encounter.location.location,Encounter.location.location
linkorderid,Procedure.basedOn,Procedure.basedOn
linkorderid,MedicationAdministration.request,MedicationAdministration.partOf
linksto,Observation.partOf,Observation.derivedFrom
location,Procedure.location,Procedure.location
locationcategory,Procedure.location,Procedure.location
lockout_interval,No mapea,MedicationDispense.dosageInstruction
los,Encounter.length,Encounter.length
lownormalvalue,Observation.referenceRange.low,observation.referenceRange.low
marital_status,Encounter.martialStatus.language.coding.code,No mapea
medication,MedicationAdministration.medication,MedicationAdministration.medication
medication,MedicationDispense.medication,MedicationDispense.medication
ndc,MedicationRequest.medication,MedicationRequest.identifier
one_hr_max,No mapea,MedicationDispense.dosageInstruction
ordercategorydescription,Procedure.category,Procedure.category
ordercategorydescription,MedicationAdministration.category,MedicationAdministration.note
ordercategoryname,MedicationAdministration.category,MedicationAdministration.category
ordercategoryname,Procedure.category,Procedure.category
ordercomponenttypedescription,MedicationAdministration.dosage.text,MedicationAdministration.note
orderid,Procedure.basedOn,Procedure.basedOn
orderid,MedicationAdministration.request,MedicationAdministration.identifier
org_itemid,Observation.value,Observation.derivedFrom
org_name,Observation.value,Observation.derivedFrom
originalamount,Procedure.used,Procedure.used
originalamount,MedicationAdministration.dosage.dose,MedicationAdministration.dosage.dose
originalrate,MedicationAdministration.dosage.rate,MedicationAdministration.dosage.dose
originalrate,Procedure.used,Procedure.used
outtime,Encounter.location.period.end,Encounter.location.period
outtime,Encounter.location.period,Encounter.actualPeriod
param_type,Observation.value,Observation.method
patientweight,MedicationAdministration.supportingInfo,MedicationAdministration.supportingInformation
patientweight,Procedure.subject,Procedure.supportingInfo
pharmacy_id,No mapea,MedicationAdministration.device
pharmacy_id,MedicationDispense.identifier,MedicationDispense.identifier
poe_id,MedicationDispense.basedOn,MedicationDispense.authorizingprescription
poe_id,MedicationAdministration.request,MedicationAdministration.request
prev_service,Encounter.link,Encounter.link.other
proc_type,MedicationDispense.type,MedicationDispense.type
prod_strength,MedicationRequest.medication,MedicationRequest.medication
rate,MedicationAdministration.dosage.rate,MedicationAdministration.dosage.rate
rateuom,MedicationAdministration.dosage.rate,MedicationAdministration.dosage.rate
route,MedicationDispense.dosageInstruction,MedicationDispense.dosageInstruction
route,MedicationRequest.dosageInstruction,MedicationRequest.dosageInstruction
scheduletime,No direct mapping,MedicationAdministration.occurence[x]
secondaryordercategoryname,MedicationAdministration.category,MedicationAdministration.category
secondaryordercategoryname,Procedure.category,Procedure.category
seq_num,No mapea,Procedure.identifier
seq_num,Encounter.priority,Encounter.diagnosis.condition
seq_num,No mapea,condition.identifier
short_description,Encounter.reason.use,Encounter.reason.use
sliding_scale,No mapea,MedicationDispense.dosageInstruction
spec_itemid,Observation.specimen,Observation.specimen
spec_type_desc,Observation.bodySite,Observation.specimen
startdate,MedicationRequest.authoredOn,MedicationRequest.dispenseRequest.validityPeriod
starttime,MedicationAdministration.occurrence,MedicationAdministration.occurence
starttime,Procedure.occurence,Procedure.occurence
starttime,MedicationDispense.whenPrepared,MedicationDispense.whenPrepared
status,MedicationDispense.status,MedicationDispense.status
statusdescription,MedicationAdministration.status,MedicationAdministration.status
statusdescription,Procedure.status,Procedure.status
stay_id,MedicationAdministration.identfier,medicationadministration.encounter
stay_id,Procedure.identifier,Procedure.partOf
stay_id,Encounter.identifier,Encounter.identifier
stay_id,Observation.identifier,Observation.partOf
stoptime,MedicationDispense.whenHandedOver,MedicationDispense.whenHandedOver
storetime,Observation.issued,Observation.issued
subject_id,Procedure.subject,Procedure.subject
subject_id,Encounter.subject,Encounter.subject
subject_id,Encounter.subject,Encounter.subject
subject_id,Observation.identfier,Observation.subject
subject_id,Observation.identifier,Observation.subject
subject_id,Encounter.identfier,Encounter.identifier
subject_id,patient.identifier,patient.identifier
subject_id,MedicationDispense.subject,MedicationDispense.subject
subject_id,Encounter.subject,Encounter.subject
subject_id,Encounter.subject,Encounter.subject
subject_id,MedicationAdministration.subject,MedicationAdministration.subject
subject_id,Procedure.identifier,Procedure.subject
subject_id,MedicationAdministration.subject.reference,medicationadministration.subject
subject_id,MedicationRequest.subject,MedicationRequest.subject
subject_id,Condition.subject,condition.subject
totalamount,Procedure.used,Procedure.used
totalamount,MedicationAdministration.dosage.dose,MedicationAdministration.dosage.dose
totalamountuom,MedicationAdministration.dosage.dose,MedicationAdministration.dosage.dose
totalamountuom,Procedure.used,Procedure.used
transfer_id,Encounter.identifier,Encounter.location.location
transfertime,No mapea,Encounter.link.other
unitname,Observation.unitname,observation.value
value,Observation.value,Observation.value
valueuom,Observation.value,Observation.value
valueuom,Procedure.value,Procedure.used
valueuom,Observation.value,Observation.value
verifiedtime,No mapea,MedicationDispense.statusChanged
warning,Observation.dataAbsentReason,Observation.interpretation
