Tabla,attribute,Llama,CorrectLlama,GPT,CorrectGPT,TeoricalCorrect
diagnoses_icd,icd_code,Condition.code.coding.code,YES,condition.code,YES,condition.code
diagnoses_icd,icd_version,Condition.code.coding.system,NO,condition.note,NO,Procedure.code
pharmacy,infusion_type,MedicationDispense.dosageInstruction.method.text,YES,MedicationDispense.dosageinstruction.method,YES,MedicationDispense.dosageinstruction.method
admissions,insurance,Encounter.coverage.coveringParty.reference,NO,Encounter.account,YES,Encounter.account
microbiologyevents,interpretation,Observation.interpretation.coding.display,YES,Observation.interpretation.code.coding.code,YES,Observation.interpretation.code.coding.code
transfers,intime,Encounter.location.period.start,YES,Encounter.location.period,YES,Encounter.location.period.start
microbiologyevents,isolate_num,Observation.component.valueInteger,YES,Observation.component.valueinteger,YES,Observation.component.valueinteger
outputevents,itemid,Observation.code.coding.code,YES,Observation.code.coding.code,YES,Observation.code.coding.code
d_items,label,Observation.code.text,YES,observation.code.text,YES,observation.code.text
admissions,language,Encounter.communication.language.coding,NO,Encounter.language,NO,Patient.language
icustays,last_careunit,Encounter.location.location.display,YES,Encounter.location.location,YES,Encounter.location.location
procedureevents,linkorderid,Procedure.basedOn.reference.identifier.value,NO,Procedure.basedOn,NO,Procedure.partOf
d_items,linksto,Observation.derivedFrom.reference,NO,Observation.category.coding.code,NO,Observation.basedOn
procedureevents,location,Procedure.location.reference,NO,Procedure.location.,NO,Procedure.bodySite
procedureevents,locationcategory,Procedure.location.reference.type,NO,Procedure.location,NO,Procedure.bodySite.category
pharmacy,lockout_interval,MedicationDispense.dosageInstruction.maxDosePerPeriod,NO,MedicationDispense.dosageinstruction.timing,YES,MedicationDispense.dosageinstruction.timing
icustays,los,Encounter.length.value,YES,Encounter.length,YES,Encounter.length
d_items,lownormalvalue,Observation.referenceRange.low.value,YES,observation.referenceRange.low,YES,observation.referenceRange.low
admissions,marital_status,Encounter.extension.valueCodeableConcept,NO,Encounter.extension,NO,Patient.maritalStatus
emar,medication,MedicationAdministration.medication.codeableReference.code.text,YES,MedicationAdministration.medication,YES,MedicationAdministration.medication
prescriptions,ndc,MedicationRequest.medication.codeableConcept.identifier.value,YES,MedicationRequest.identifier,NO,MedicationRequest.medication
pharmacy,one_hr_max,MedicationDispense.dosageInstruction.maxDosePerPeriod,YES,MedicationDispense.dosageinstruction.maxDosePerPeriod,YES,MedicationDispense.dosageinstruction.maxDosePerPeriod
procedureevents,ordercategorydescription,Procedure.category.text,YES,Procedure.category,YES,Procedure.category
procedureevents,ordercategoryname,Procedure.category.coding.code,YES,Procedure.category,YES,Procedure.category
inputevents,ordercomponenttypedescription,MedicationAdministration.medication.codeableReference,NO,MedicationAdministration.extension,NO,MedicationAdministration.category
procedureevents,orderid,Procedure.basedOn.reference,NO,Procedure.identifier,YES,Procedure.identifier
microbiologyevents,org_itemid,Observation.valueCodeableConcept.coding.code,NO,Observation.component.code.coding.code,YES,Observation.component.code.coding.code
microbiologyevents,org_name,Observation.valueCodeableConcept.coding.display,NO,Observation.component.code.coding.display,YES,Observation.component.code.coding.code
icustays,outtime,Encounter.period.end,NO,Encounter.actualPeriod.end,YES,Encounter.actualPeriod.end
d_items,param_type,Observation.value[x].type,YES,Observation.value[x],YES,Observation.value[x]
procedureevents,patientweight,Procedure.used.reference.quantity.value,NO,Procedure.supportinginfo,YES,Procedure.supportinginfo
pharmacy,pharmacy_id,MedicationDispense.identifier.identifier.value,YES,MedicationDispense.identifier,YES,MedicationDispense.identifier
pharmacy,poe_id,MedicationDispense.authorizingPrescription.reference,YES,MedicationDispense.authorizingprescription,YES,MedicationDispense.authorizingprescription
services,prev_service,Encounter.classHistory.class,NO,Encounter.serviceProvider,NO,Encounter.admission.admitsource
pharmacy,proc_type,MedicationDispense.type.codeableConcept.text,NO,MedicationDispense.type,YES,MedicationDispense.type
prescriptions,prod_strength,MedicationRequest.medication.codeableConcept.coding.display,YES,MedicationRequest.dosageInstruction,NO,MedicationRequest.medication
inputevents,rate,MedicationAdministration.dosage.rateQuantity.quantity.value,YES,MedicationAdministration.dosage.rateQuantity.value,YES,MedicationAdministration.dosage.rateQuantity.value
inputevents,rateuom,MedicationAdministration.dosage.rateQuantity.quantity.unit,YES,MedicationAdministration.dosage.rateQuantity.unit,YES,MedicationAdministration.dosage.rateQuantity.unit
prescriptions,route,MedicationRequest.dosageInstruction.route.coding.code,YES,MedicationRequest.dosageinstruction.route,YES,MedicationRequest.dosageinstruction.route
emar,scheduletime,MedicationAdministration.occurrenceDateTime,YES,MedicationAdministration.occurencedatetime,YES,MedicationAdministration.occurencedatetime
procedureevents,secondaryordercategoryname,Procedure.category.coding.display,YES,Procedure.category,YES,Procedure.category
diagnoses_icd,seq_num,Condition.extension.valueInteger,NO,condition.identifier,YES,condition.identifier
hcpsevents,short_description,Encounter.type.coding.display,NO,Encounter.type.text,NO,Encounter.diagnosis.condition.note
pharmacy,sliding_scale,MedicationDispense.dosageInstruction.doseAdjustment,NO,MedicationDispense.dosageinstruction.doseAndRate,NO,MedicationDispense.dosageinstruction.asNeeded
microbiologyevents,spec_itemid,Observation.specimen.reference,YES,Observation.specimen.reference,YES,Observation.specimen.reference
microbiologyevents,spec_type_desc,Observation.specimen.display,YES,Observation.specimen.display,YES,Observation.specimen.display
inputevents,starttime,MedicationAdministration.occurrenceDateTime,NO,MedicationAdministration.occurencePeriod.start,YES,MedicationAdministration.occurencePeriod.start
pharmacy,status,MedicationDispense.status,YES,MedicationDispense.status,YES,MedicationDispense.status
procedureevents,statusdescription,Procedure.status,YES,Procedure.status,YES,Procedure.status
icustays,stay_id,Encounter.identifier.value,NO,Encounter.identifier,YES,Encounter.identifier
pharmacy,stoptime,MedicationDispense.whenHandedOver,NO,MedicationDispense.whenHandedOver,NO,MedicationDispense.dosageInstruction.timing.repeat.boundsPeriod.end
procedureevents,storetime,Procedure.recorded,YES,Procedure.recorded,YES,Procedure.recorded
datetimeevents,subject,Observation.subject.reference,YES,Observation.subject.reference,YES,Observation.subject
patients,subject_id,Patient.identifier,YES,Patient.identifier,YES,Patient.identifier
inputevents,totalamount,MedicationAdministration.dosage.totalDose.quantity.value,NO,MedicationAdministration.dosage.dose.value,YES,MedicationAdministration.dosage.dose.value
transfers,transfer_id,Encounter.location.location.reference,YES,Encounter.location.location,YES,Encounter.location.location
services,transfertime,Encounter.period.start,NO,Encounter.period.start,NO,Encounter.actualperiod.start
d_items,unitname,Observation.valueQuantity.unit,YES,observation.valueQuantity.unit,YES,observation.valueQuantity.unit
outputevents,value,Observation.valueQuantity.value,YES,Observation.valuequantity.value,YES,Observation.valuequantity.value
outputevents,valueuom,Observation.valueQuantity.unit,YES,Observation.valuequantity.unit,YES,Observation.valuequantity.unit
pharmacy,verifiedtime,MedicationDispense.statusChanged,NO,MedicationDispense.statusChanged,NO,MedicationDispense.whenPrepared
