Tabla,attribute,Llama,CorrectLlama,GPT,CorrectGPT,TeoricalCorrect
microbiologyevents,dilution_value,Observation.component.valueQuantity.value,YES,Observation.component.valueQuantity,YES,Observation.component.valuequantity.value
admissions,discharge_location,Encounter.extension,NO,Encounter.admission.destination,NO,Encounter.admission.dischargedisposition
admissions,dischtime,Encounter.period.end,NO,Encounter.actualPeriod.end,NO,Encounter.admission.destination.period.end
pharmacy,disp_sched,MedicationDispense.dosageInstruction.timing.repeat.boundsPeriod,NO,MedicationDispense.dosageInstruction.timing,YES,MedicationDispense.dosageInstruction.timing
patients,dod,patient.deceasedDateTime,YES,patient.deceasedDateTime,YES,Patient.deceasedDateTime
prescriptions,dose_unit_rx,MedicationRequest.dosageInstruction.doseAndRate.doseQuantity.unit,YES,MedicationRequest.dosageInstruction.doseAndRate.doseQuantity,YES,MedicationRequest.dosageinstruction.doseAndRate
prescriptions,dose_val_rx,MedicationRequest.dosageInstruction.doseAndRate.doseQuantity.value,YES,MedicationRequest.dosageInstruction.doseAndRate.doseQuantity,YES,MedicationRequest.dosageinstruction.doseAndRate
pharmacy,doses_per_24_hrs,MedicationDispense.extension.value,NO,MedicationDispense.dosageInstruction.timing,YES,MedicationDispense.dosageinstruction.timing
prescriptions,drug,MedicationRequest.medication.codeableConcept.text,YES,MedicationRequest.medication,YES,MedicationRequest.medication
prescriptions,drug_name_generic,MedicationRequest.extension,NO,MedicationRequest.medication,YES,MedicationRequest.medication
prescriptions,drug_name_poe,MedicationRequest.extension,NO,MedicationRequest.medication,YES,MedicationRequest.medication
prescriptions,drug_type,MedicationRequest.category.codeableConcept.coding.code,NO,MedicationRequest.category,YES,MedicationRequest.medication
pharmacy,duration,MedicationDispense.dosageinstruction.timing.repeat.boundsDiration.value,NO,MedicationDispense.dosageInstruction.timing,YES,MedicationDispense.dosageinstruction.timing
pharmacy,duration_interval,MedicationDispense.extension.value,NO,MedicationDispense.dosageInstruction.timing,YES,MedicationDispense.dosageinstruction.timing.repeat.durationUnit
admissions,edouttime,Encounter.extension,NO,Encounter.extension,NO,Encounter.location.period.end
admissions,edregtime,Encounter.extension,NO,Encounter.extension,NO,Encounter.location.period.start
emar,emar_id,MedicationAdministration.identifier.value,YES,MedicationAdministration.identifier,YES,MedicationAdministration.identifier
emar,emar_seq,MedicationAdministration.identifier.extension.value,NO,MedicationAdministration.identifier,YES,
prescriptions,enddate,MedicationRequest.dispenseRequest.validityPeriod.end,NO,MedicationRequest.dispenseRequest.validityPeriod,NO,MedicationRequest.effectiveDosePeriod.end
procedureevents,endtime,Procedure.occurrencePeriod.end,YES,Procedure.occurrencePeriod,YES,Procedure.occurenceperiod.end
admissions,ethnicity,Encounter.extension.ethnicity,NO,No mapea,NO,No direct mapping
emar,event_txt,MedicationAdministration.note.text,NO,MedicationAdministration.statusReason,NO,MedicationAdministration.status
transfers,eventtype,Encounter.extension.eventtype,NO,Encounter.status,YES,Encounter.type
pharmacy,expiration_unit,MedicationDispense.extension.value,NO,MedicationDispense.dosageInstruction.expirationDate,NO,MedicationAdministration.dosageInstruction.timing.durationUnit
pharmacy,expiration_value,MedicationDispense.extension.value,NO,MedicationDispense.dosageInstruction.expirationDate,NO,MedicationAdministration.dosageInstruction.timing.durationMax
pharmacy,fill_quantity,MedicationDispense.quantity,NO,MedicationDispense.quantity,NO,No direct mapping
icustays,first_careunit,Encounter.location.location.display,YES,Encounter.location.location,YES,Encounter.location.location
prescriptions,form_unit_disp,MedicationRequest.dispenseRequest.quantity.unit,YES,MedicationRequest.dosageInstruction,NO,MedicationRequest.dispenseRequest.quantity.unit
prescriptions,form_val_disp,MedicationRequest.dispenseRequest.quantity.value,YES,MedicationRequest.dosageInstruction,NO,MedicationRequest.dispenseRequest.quantity
prescriptions,formulary_drug_cd,MedicationRequest.medication.codeableConcept.coding,NO,MedicationRequest.medication,YES,MedicationRequest.medication
pharmacy,frequency,MedicationDispense.dosageInstruction.timing.repeat.frequency,YES,MedicationDispense.dosageInstruction.timing,YES,MedicationDispense.dosageInstruction.timing.repeat.frequency
patients,gender,Patient.gender,YES,patient.gender,YES,Patient.gender
prescriptions,gsn,MedicationRequest.medication.codeableConcept.coding,NO,MedicationRequest.medication,YES,MedicationRequest.medication
admissions,hadm_id,Encounter.identifier.value,YES,Encounter.identifier,YES,Encounter.identifier
hcpsevents,hcpcs_cd,Encounter.type.cdoing.code,NO,Encounter.reason,NO,Encounter.diagnosis
d_items,highnormalvalue,Observation.referenceRange.high.value,YES,observation.referenceRange.high,YES,observation.referenceRange.high
procedures_icd,icd_code,Procedure.code.coding.code,YES,Procedure.code,YES,Procedure.code
procedures_icd,icd_version,Procedure.code.coding.system,YES,Procedure.code,YES,Procedure.code
pharmacy,infusion_type,MedicationDispense.dosageInstruction.method.text,NO,MedicationDispense.dosageInstruction.method,NO,MedicationDispense.dosageInstruction.additionalInstruction
admissions,insurance,Encounter.extension,NO,Encounter.account,YES,Encounter.account
microbiologyevents,interpretation,Observation.component.interpretation.coding.code,YES,Observation.component.interpretation,YES,Observation.component.interpretation.code.coding
icustays,intime,Encounter.actualPeriod.start,YES,Encounter.actualPeriod.start,YES,Encounter.actualPeriod.start
microbiologyevents,isolate_num,Observation.valueInteger,NO,Observation.component,YES,Observation.component.valueinteger
procedureevents,itemid,Procedure.code.coding.code,YES,Procedure.code,YES,Procedure.code
d_items,label,Observation.code.coding.display,YES,observation.code.text,YES,observation.code.text
admissions,language,Encounter.extension,NO,Encounter.language,NO,Patient.language
icustays,last_careunit,Encounter.location.location.display,YES,Encounter.location.location,YES,Encounter.location.location
inputevents,linkorderid,MedicationAdministration.request.identifier,NO,medicationadministration.partOf,YES,MedicationAdministration.partOf
d_items,linksto,Observation.derivedFrom.reference,NO,Observation.basedOn,YES,Observation.basedOn
procedureevents,location,Procedure.location.reference,NO,Procedure.location,NO,Procedure.bodySite
procedureevents,locationcategory,Procedure.location.extension.valueCodeableConcept.coding.code,NO,Procedure.location,NO,Procedure.bodySite.category
pharmacy,lockout_interval,MedicationDispense.extension.value,NO,MedicationDispense.dosageInstruction.timing,YES,MedicationDispense.dosageinstruction.timing
icustays,los,Encounter.length.value,YES,Encounter.length,YES,Encounter.length
d_items,lownormalvalue,Observation.referenceRange.low.value,YES,observation.referenceRange.low,YES,observation.referenceRange.low
admissions,marital_status,Encounter.extension,NO,Encounter.extension,NO,Patient.maritalStatus
pharmacy,medication,MedicationDispense.medication.codeableConcept.text,YES,MedicationDispense.medication,YES,MedicationDispense.medication
prescriptions,ndc,MedicationRequest.medication.codeableConcept.coding,NO,MedicationRequest.medication,YES,MedicationRequest.medication
pharmacy,one_hr_max,MedicationDispense.extension.value,NO,MedicationDispense.dosageInstruction.maxDosePerPeriod,YES,MedicationDispense.dosageinstruction.maxDosePerPeriod
procedureevents,ordercategorydescription,Procedure.category.coding.display,YES,Procedure.category,YES,Procedure.category
procedureevents,ordercategoryname,Procedure.category.coding.code,YES,Procedure.category,YES,Procedure.category
inputevents,ordercomponenttypedescription,MedicationAdministration.extension.valueString,NO,medicationadministration.category,YES,MedicationAdministration.category
procedureevents,orderid,Procedure.basedOn.reference,NO,Procedure.identifier,YES,Procedure.identifier
microbiologyevents,org_itemid,Observation.component.valueCodeableConcept.coding.code,YES,Observation.derivedFrom,NO,Observation.component.code.coding.code
microbiologyevents,org_name,Observation.component.valueCodeableConcept.coding.display,YES,Observation.derivedFrom,NO,Observation.component.code.coding.code
icustays,outtime,Encounter.actualPeriod.end,YES,Encounter.actualPeriod.end,YES,Encounter.actualPeriod.end
d_items,param_type,Observation.valueQuantity.code,YES,No mapea,NO,Observation.valueQuantity.code
procedureevents,patientweight,Procedure.subject.reference.extension.valueQuantity.value,NO,Procedure.supportingInfo,YES,Procedure.supportinginfo
pharmacy,pharmacy_id,MedicationDispense.identifier.identifier.value,YES,MedicationDispense.identifier,YES,MedicationDispense.identifier
pharmacy,poe_id,MedicationDispense.authorizingPrescription.reference,YES,MedicationDispense.authorizingprecription,YES,MedicationDispense.authorizingprescription
services,prev_service,Encounter.extension,NO,Encounter.serviceProvider,NO,Encounter.admission.admitsource
pharmacy,proc_type,MedicationDispense.type.codeableConcept.coding.display,YES,MedicationDispense.type,YES,MedicationDispense.type
prescriptions,prod_strength,MedicationRequest.extension,NO,MedicationRequest.dosageInstruction,YES,MedicationRequest.medication
inputevents,rate,MedicationAdministration.dosage.rateQuantity.value,YES,medicationadministration.dosage.rateratio,NO,MedicationAdministration.dosage.rateQuantity.value
inputevents,rateuom,MedicationAdministration.dosage.rateQuantity.unit,YES,medicationadministration.dosage.rateratio,NO,MedicationAdministration.dosage.rateQuantity.unit
pharmacy,route,MedicationDispense.dosageInstruction.route,YES,MedicationDispense.dosageInstruction.route,YES,MedicationDispense.dosageInstruction.route
emar,scheduletime,No direct mapping,NO,MedicationAdministration.occurence[x],YES,MedicationAdministration.occurencedatetime
procedureevents,secondaryordercategoryname,Procedure.category.extension.valueCodeableConcept.coding.code,YES,Procedure.category,YES,Procedure.category
diagnoses_icd,seq_num,Condition.extension.valueInteger,NO,condition.identifier,YES,condition.subject
hcpsevents,short_description,Encounter.type.coding.display,NO,Encounter.reason.display,NO,Encounter.diagnosis.condition.note
pharmacy,sliding_scale,MedicationDispense.dosageInstruction.doseAndRate.type.text,NO,MedicationDispense.dosageInstruction.additionalInstruction,NO,MedicationDispense.dosageinstruction.asNeeded
microbiologyevents,spec_itemid,Observation.specimen.reference,YES,Observation.specimen,YES,Observation.specimen.reference
microbiologyevents,spec_type_desc,Observation.specimen.display,YES,Observation.specimen,YES,Observation.specimen.display
inputevents,starttime,MedicationAdministration.occurenceDateTime,NO,MedicationAdministration.occurenceDateTime,NO,MedicationAdministration.occurencePeriod.start
pharmacy,status,MedicationDispense.status,YES,MedicationDispense.status,NO,MedicationDispense.status
inputevents,statusdescription,MedicationAdministration.status,YES,medicationadministration.status,YES,MedicationAdministration.status
icustays,stay_id,Encounter.identifier.value,NO,Encounter.identifier,NO,Encounter.partOf
pharmacy,stoptime,MedicationDispense.whenHandedOver,NO,MedicationDispense.whenHandedOver,NO,MedicationDispense.dosageInstruction.timing.repeat.boundsPeriod.end
procedureevents,storetime,Procedure.recorded,YES,Procedure.recorded,YES,Procedure.recorded
datetimeevents,subject,Observation.identifier,NO,Observation.subject,YES,Observation.subject
patients,subject_id,patient.identifier,YES,patient.identifier,YES,Patient.identifier
inputevents,totalamount,MedicationAdministration.extension.valueQuantity.value,NO,medicationadministration.dosage.dose,YES,MedicationAdministration.dosage.dose.value
transfers,transfer_id,Encounter.extension.transferId.value,NO,Encounter.location.location,YES,Encounter.location.location
services,transfertime,Encounter.extension,NO,Encounter.period.start,NO,Encounter.actualperiod.start
d_items,unitname,Observation.valueQuantity.unit,YES,observation.valueQuantity.code,NO,Observation.valueQuantity.unit
outputevents,value,Observation.valueQuantity.value,YES,Observation.valueQuantity.value,YES,Observation.valueQuantity.value
outputevents,valueuom,Observation.valueQuantity.unit,YES,Observation.valueQuantity.unit,YES,Observation.valueQuantity.unit
pharmacy,verifiedtime,MedicationDispense.statusChanged,NO,MedicationDispense.statusChanged,NO,MedicationDispense.whenPrepared
